"","age","sex","scen","meets_base","meets_base_se","meets_scen","meets_scen_se","max_walk","max_cycle","purpose","title1","scen_order"
"1","40-64","female","all_0_10","52.89%",0.0163,"76.4%",0.014,0,10,"all","10km = cycling",5
"2","40-64","female","all_0_2","52.89%",0.0163,"59.67%",0.016,0,2,"all","2km = cycling",3
"3","40-64","female","all_0_5","52.89%",0.0163,"70.39%",0.0148,0,5,"all","5km = cycling",4
"4","40-64","female","all_1_0","52.89%",0.0163,"54.4%",0.0162,1,0,"all","1km = walking",1
"5","40-64","female","all_1_10","52.89%",0.0163,"76.58%",0.014,1,10,"all","1km = walking ; 1 km < cycling = 10 km",8
"6","40-64","female","all_1_2","52.89%",0.0163,"60.01%",0.0159,1,2,"all","1km = walking ; 1 km < cycling = 2 km",6
"7","40-64","female","all_1_5","52.89%",0.0163,"70.71%",0.0148,1,5,"all","1km = walking ; 1 km < cycling = 5 km",7
"8","40-64","female","all_2_0","52.89%",0.0163,"60.82%",0.0159,2,0,"all","2km = walking",2
"9","40-64","female","all_2_10","52.89%",0.0163,"76.62%",0.014,2,10,"all","2km = walking ; 2 km < cycling = 10 km",10
"10","40-64","female","all_2_5","52.89%",0.0163,"70.96%",0.0148,2,5,"all","2km = walking ; 2 km < cycling = 5 km",9
