"persid","cluster_id","household_id","participant_id","age","sex","year","trip_id","trip_purpose","participant_wt","trips_wt","trip_mode_base","trip_duration_base","trip_distance_base","day_type","trip_id_2","age_group","dist_cat","trip_mode_scen","trip_distance_scen","trip_duration_scen","trip_duration_base_hrs","trip_duration_scen_hrs"
"y18h3090223p02",30,90223,4846,49,"female",18,20385,"Other",108.04,108.04,"car",0.416666666666667,19.28,"weekday",3,"40 to 64",">10km","car",19.28,0.416666666666667,2.91666666666667,2.91666666666667
"y18h3090223p02",30,90223,4846,49,"female",18,20386,"Other",108.04,108.04,"car",0.25,4.31,"weekday",4,"40 to 64","3-5km","car",4.31,0.25,1.75,1.75
"y18h3090223p03",30,90223,4847,18,"male",18,20387,"Work",120.27,145.15,"car",0.166666666666667,3.47,"weekday",1,"15 to 19","3-5km","bicycle",3.47,0.315454545454545,1.16666666666667,2.20818181818182
"y18h3090223p03",30,90223,4847,18,"male",18,20388,"Work",120.27,145.15,"car",2.83333333333333,49.67,"weekday",2,"15 to 19",">10km","car",49.67,2.83333333333333,19.8333333333333,19.8333333333333
"y18h3090223p03",30,90223,4847,18,"male",18,20389,"Work",120.27,145.15,"car",1,38.87,"weekday",3,"15 to 19",">10km","car",38.87,1,7,7
"y18h3090223p03",30,90223,4847,18,"male",18,20390,"Work",120.27,145.15,"car",1,47.25,"weekday",4,"15 to 19",">10km","car",47.25,1,7,7
"y18h3090223p03",30,90223,4847,18,"male",18,20391,"Work",120.27,145.15,"car",1.5,48.6,"weekday",5,"15 to 19",">10km","car",48.6,1.5,10.5,10.5
"y18h3090228p01",30,90228,4848,45,"female",18,20392,"Other",288.58,288.58,"car",0.833333333333333,63.6,"weekend day",1,"40 to 64",">10km","car",63.6,0.833333333333333,5.83333333333333,5.83333333333333
"y18h3090229p01",30,90229,4849,45,"female",18,20393,"Work",107.36,107.36,"car",1.08333333333333,36.13,"weekday",1,"40 to 64",">10km","car",36.13,1.08333333333333,7.58333333333333,7.58333333333333
"y18h3090229p01",30,90229,4849,45,"female",18,20394,"Work",107.36,107.36,"car",1,35.02,"weekday",2,"40 to 64",">10km","car",35.02,1,7,7
"y18h3090229p02",30,90229,4850,45,"male",18,20395,"Work",110.87,130.22,"car",0.75,32.46,"weekday",1,"40 to 64",">10km","car",32.46,0.75,5.25,5.25
"y18h3090229p02",30,90229,4850,45,"male",18,20396,"Shopping",110.87,130.22,"car",0.0833333333333333,1.58,"weekday",2,"40 to 64","1-2km","car",1.58,0.0833333333333333,0.583333333333333,0.583333333333333
"y18h3090229p02",30,90229,4850,45,"male",18,20397,"Shopping",110.87,130.22,"car",1,31.31,"weekday",3,"40 to 64",">10km","car",31.31,1,7,7
"y18h3090231p01",30,90231,4851,65,"male",18,20398,"Work",97.76,112.77,"car",0.25,18.12,"weekday",1,"65 plus",">10km","car",18.12,0.25,1.75,1.75
"y18h3090231p01",30,90231,4851,65,"male",18,20399,"Work",97.76,112.77,"car",0.5,14.5,"weekday",2,"65 plus",">10km","car",14.5,0.5,3.5,3.5
"y18h3090231p02",30,90231,4852,65,"female",18,20400,"Work",94.66,94.66,"car",0.5,18.12,"weekday",1,"65 plus",">10km","car",18.12,0.5,3.5,3.5
"y18h3090231p02",30,90231,4852,65,"female",18,20401,"Work",94.66,94.66,"car",0.5,14.5,"weekday",2,"65 plus",">10km","car",14.5,0.5,3.5,3.5
"y18h3090231p03",30,90231,4853,38,"male",18,20402,"Work",124.15,143.22,"car",0.25,18.12,"weekday",1,"20 to 39",">10km","car",18.12,0.25,1.75,1.75
"y18h3090231p03",30,90231,4853,38,"male",18,20403,"Work",124.15,143.22,"car",0.5,14.5,"weekday",2,"20 to 39",">10km","car",14.5,0.5,3.5,3.5
"y18h3090232p01",30,90232,4854,35,"male",18,20404,"Leisure",124.78,124.78,"car",0.25,7.15,"weekday",1,"20 to 39","6-10km","car",7.15,0.25,1.75,1.75
