"","age","sex","walk_base","walk_scen","cycle_base","cycle_scen","scen","purpose"
"1","15-19","male",63.8890345817031,63.8890345817031,1.12519317306178,57.5989979963798,"commuting_0_10","commuting"
"2","15-19","male",63.8890345817031,63.8890345817031,1.12519317306178,3.56169652487806,"commuting_0_2","commuting"
"3","15-19","male",63.8890345817031,63.8890345817031,1.12519317306178,11.3420307815203,"commuting_0_5","commuting"
"4","15-19","male",63.8890345817031,63.9815386154547,1.12519317306178,1.12519317306178,"commuting_1_0","commuting"
"5","15-19","male",63.8890345817031,63.9815386154547,1.12519317306178,57.5653601659246,"commuting_1_10","commuting"
"6","15-19","male",63.8890345817031,63.9815386154547,1.12519317306178,3.52805869442296,"commuting_1_2","commuting"
"7","15-19","male",63.8890345817031,63.9815386154547,1.12519317306178,11.3083929510652,"commuting_1_5","commuting"
"8","15-19","male",63.8890345817031,70.5894187991979,1.12519317306178,1.12519317306178,"commuting_2_0","commuting"
"9","15-19","male",63.8890345817031,70.5894187991979,1.12519317306178,55.1624946445635,"commuting_2_10","commuting"
"10","15-19","male",63.8890345817031,70.5894187991979,1.12519317306178,8.90552742970398,"commuting_2_5","commuting"
