"","age","sex","scen","meets_base","meets_base_se","meets_scen","meets_scen_se","max_walk","max_cycle","purpose","title1","scen_order"
"1","40-64","male","all_0_10","54.47%",0.0171,"74.34%",0.015,0,10,"all","10km = cycling",5
"2","40-64","male","all_0_2","54.47%",0.0171,"58.84%",0.0168,0,2,"all","2km = cycling",3
"3","40-64","male","all_0_5","54.47%",0.0171,"69.17%",0.0157,0,5,"all","5km = cycling",4
"4","40-64","male","all_1_0","54.47%",0.0171,"55.66%",0.017,1,0,"all","1km = walking",1
"5","40-64","male","all_1_10","54.47%",0.0171,"74.55%",0.015,1,10,"all","1km = walking ; 1 km < cycling = 10 km",8
"6","40-64","male","all_1_2","54.47%",0.0171,"59.17%",0.0168,1,2,"all","1km = walking ; 1 km < cycling = 2 km",6
"7","40-64","male","all_1_5","54.47%",0.0171,"69.38%",0.0156,1,5,"all","1km = walking ; 1 km < cycling = 5 km",7
"8","40-64","male","all_2_0","54.47%",0.0171,"59.9%",0.0167,2,0,"all","2km = walking",2
"9","40-64","male","all_2_10","54.47%",0.0171,"74.82%",0.0149,2,10,"all","2km = walking ; 2 km < cycling = 10 km",10
"10","40-64","male","all_2_5","54.47%",0.0171,"69.8%",0.0156,2,5,"all","2km = walking ; 2 km < cycling = 5 km",9
