"year","sex","brsc","utrc","tbalc","carc","ishd","strk","copd","dmt2"
0,"female",1,1,1,1,1,1,1,1
1,"female",1.00843598135529,1.01329059110687,1.00835693341132,0.987203318573026,0.991197768397979,0.991197768397979,1.01717451981525,1.00030306862493
2,"female",1.016943128492,1.02675782202571,1.01678370515868,0.974570392201596,0.982473016077135,0.982473016077135,1.03464400376138,1.00060622910045
3,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.973825061046888,0.973825061046888,1.05241351770571,1.0009094814544
4,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.965253227319702,0.965253227319702,1.07048821451939,1.00121282571462
5,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.08887333557164,1.00151626190897
6,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
7,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
8,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
9,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
10,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
11,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
12,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
13,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
14,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
15,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
16,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
17,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
18,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
19,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
20,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
21,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
22,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
23,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
24,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
25,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
26,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
27,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
28,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
29,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
30,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
31,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
32,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
33,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
34,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
35,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
36,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
37,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
38,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
39,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
40,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
41,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
42,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
43,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
44,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
45,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
46,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
47,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
48,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
49,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
50,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
51,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
52,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
53,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
54,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
55,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
56,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
57,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
58,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
59,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
60,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
61,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
62,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
63,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
64,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
65,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
66,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
67,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
68,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
69,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
70,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
71,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
72,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
73,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
74,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
75,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
76,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
77,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
78,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
79,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
80,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
81,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
82,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
83,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
84,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
85,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
86,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
87,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
88,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
89,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
90,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
91,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
92,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
93,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
94,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
95,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
96,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
97,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
98,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
99,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
100,"female",1.02552204176334,1.04040404040404,1.0252808988764,0.962099125364432,0.956756844858236,0.956756844858236,1.10757421224971,1.00151626190897
