"year","sex","tbalc","carc","ishd","strk","copd","dmt2"
0,"male",1,1,1,1,1,1
1,"male",0.982812184475191,0.980503486778665,0.991049654787839,0.991049654787839,0.95359478396299,1.00030306862493
2,"male",0.965919789952896,0.961387087585121,0.982179418255094,0.982179418255094,0.909343012001421,1.00060622910045
3,"male",0.949317738791423,0.942643391521197,0.973388573401431,0.973388573401431,0.867144753077749,1.0009094814544
4,"male",0.949317738791423,0.942643391521197,0.964676409643915,0.964676409643915,0.826904713475816,1.00121282571462
5,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
6,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
7,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
8,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
9,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
10,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
11,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
12,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
13,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
14,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
15,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
16,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
17,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
18,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
19,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
20,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
21,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
22,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
23,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
24,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
25,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
26,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
27,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
28,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
29,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
30,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
31,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
32,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
33,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
34,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
35,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
36,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
37,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
38,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
39,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
40,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
41,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
42,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
43,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
44,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
45,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
46,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
47,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
48,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
49,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
50,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
51,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
52,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
53,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
54,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
55,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
56,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
57,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
58,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
59,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
60,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
61,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
62,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
63,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
64,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
65,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
66,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
67,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
68,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
69,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
70,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
71,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
72,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
73,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
74,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
75,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
76,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
77,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
78,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
79,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
80,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
81,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
82,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
83,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
84,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
85,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
86,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
87,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
88,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
89,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
90,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
91,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
92,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
93,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
94,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
95,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
96,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
97,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
98,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
99,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
100,"male",0.949317738791423,0.942643391521197,0.956042222759574,0.956042222759574,0.788532021604949,1.00151626190897
