"year","sex","tbalc","carc","kdnc","lvrc","bldc","mltm","chml","espc","stmc","hanc","prsc","rctc","ishd","strk","dmt2","adaod","prkd","dprd"
0,"male",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,"male",0.9791476075616,0.96578167707886,0.99450383025657,0.987934165551779,1.02493069516423,0.997811711295235,0.938930910661706,0.99383241961359,0.965362682070079,0.981757155792334,0.980647403576592,1.02306283662755,0.953070200489615,0.953070200489615,1,1.00048416779134,1.00048416779134,1
10,"male",0.809993755947534,0.70597547872355,0.946377924301632,0.885686547252161,1.2792192850669,0.978331347628008,0.532520544719981,0.940008101847813,0.702918645162802,0.831841827531749,0.822486594186651,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
100,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
11,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
12,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
13,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
14,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
15,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
16,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
17,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
18,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
19,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
2,"male",0.958730037393604,0.932734247781256,0.989037868394989,0.97601391546449,1.05048292988984,0.995628211197925,0.881591254996021,0.987702878275003,0.931925107933536,0.963847112949453,0.961669330141511,1.04665756768841,0.908342807061315,0.908342807061315,1,1.00096857000114,1.00096857000114,1
20,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
21,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
22,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
23,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
24,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
25,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
26,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
27,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
28,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
29,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
3,"male",0.938738222411391,0.900817646091071,0.98360194838761,0.964237493141336,1.07667219959015,0.993449489229215,0.827753279884811,0.981611141375353,0.899645721683166,0.946263800227908,0.943058531702513,1.07079646017699,0.865714461239228,0.865714461239228,1,1.00145320674288,1.00145320674288,1
30,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
31,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
32,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
33,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
34,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
35,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
36,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
37,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
38,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
39,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
4,"male",0.919163284600742,0.869993176984066,0.978195905119304,0.952603163180325,1.10351438598994,0.991275534933181,0.77720314088546,0.975556975752725,0.868484406796933,0.929001257140997,0.924807900534822,1.07079646017699,0.82508665514003,0.82508665514003,1,1.00145320674288,1.00145320674288,1
40,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
41,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
42,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
43,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
44,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
45,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
46,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
47,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
48,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
49,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
5,"male",0.899996531075278,0.840223469514837,0.97281957438244,0.94110921111854,1.1310257667564,0.989106337876776,0.729740052840723,0.969540149683247,0.838402436281528,0.912053631938248,0.906910466466592,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
50,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
51,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
52,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
53,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
54,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
55,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
56,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
57,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
58,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
59,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
6,"male",0.881229450216097,0.811472431509058,0.967472792871903,0.929753943179488,1.1592230253703,0.986941887649789,0.685175492360062,0.963560432872223,0.809362424542824,0.895415179621762,0.889359394216899,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
60,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
61,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
62,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
63,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
64,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
65,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
66,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
67,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
68,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
69,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
7,"male",0.862853707891916,0.783705205806079,0.962155398180129,0.918535686023504,1.18812326124316,0.984782173864786,0.643332449004716,0.95761759644532,0.781328280923403,0.879080259998743,0.872147980785252,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
70,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
71,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
72,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
73,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
74,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
75,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
76,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
77,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
78,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
79,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
8,"male",0.844861143758024,0.756888127998828,0.956867228792174,0.907452786501161,1.21774400008675,0.982627186157064,0.604044722202224,0.951711412939803,0.75426516484942,0.863043335769552,0.855269652891625,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
80,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
81,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
82,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
83,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
84,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
85,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
86,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
87,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
88,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
89,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
9,"male",0.827243767632426,0.730988685619788,0.951608124080807,0.896503611409662,1.24810320454099,0.980476914184601,0.567156261097731,0.945841656295832,0.728139442531066,0.847298970650644,0.838717964466025,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
90,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
91,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
92,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
93,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
94,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
95,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
96,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
97,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
98,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
99,"male",0.793103448275862,0.681818181818182,0.941176470588235,0.875,1.31111111111111,0.976190476190476,0.5,0.934210526315789,0.678571428571429,0.816666666666667,0.806569343065694,1.07079646017699,0.786365503835614,0.786365503835614,1,1.00145320674288,1.00145320674288,1
