"year","sex","brsc","utrc","tbalc","carc","kdnc","bldc","lvrc","mltm","chml","espc","stmc","hanc","rctc","ishd","strk","dmt2","adaod","prkd","dprd"
0,"female",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,"female",0.987872163907216,1.00319521383082,1.00442727658018,0.990149375821571,0.987374744637744,0.990942769836501,1.02338135076166,0.996295787174676,0.938930910661706,0.992121077532653,0.969874705759989,0.975907340444634,1.04430442600971,0.953404767870189,0.953404767870189,1,1.00047917662685,0.995087405634512,1
10,"female",0.885130857222763,1.03241549743772,1.0451652952861,0.905747575795077,0.880684078779367,0.913031440666533,1.26001288107392,0.963569265631842,0.532520544719981,0.923946368467811,0.736472154643938,0.783584517362614,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
100,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
11,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
12,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
13,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
14,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
15,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
16,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
