"","age","sex","walk_base","walk_scen","cycle_base","cycle_scen","scen","purpose"
"1","65plus","male",76.7134646146504,78.0017644997882,8.82011931023788,177.794548753729,"all_0_10","all"
"2","65plus","male",76.713464615298,78.0017645004358,8.8201193092844,28.9953168822723,"all_0_2","all"
"3","65plus","male",76.7134646146504,78.0017644997882,8.82011931023788,100.716132772259,"all_0_5","all"
"4","65plus","male",76.7134646146504,86.6137557026885,8.82011931023788,8.93409570879925,"all_1_0","all"
"5","65plus","male",76.7134646146504,86.6137557026885,8.82011931023788,174.662915589038,"all_1_10","all"
"6","65plus","male",76.7134646146504,86.6137557026885,8.82011931023788,25.8636837189478,"all_1_2","all"
"7","65plus","male",76.7134646146504,86.6137557026885,8.82011931023788,97.5844996075682,"all_1_5","all"
"8","65plus","male",76.7134646146504,133.170122730597,8.82011931023788,8.93409570879925,"all_2_0","all"
"9","65plus","male",76.7134646146504,133.170122730597,8.82011931023788,157.73332757889,"all_2_10","all"
"10","65plus","male",76.7134646146504,133.170122730597,8.82011931023788,80.6549115974197,"all_2_5","all"
