"","age","sex","scen","meets_base","meets_base_se","meets_scen","meets_scen_se","max_walk","max_cycle","purpose","title1","scen_order"
"1","40-64","male","commuting_0_10","54.47%",0.0171,"59.39%",0.0169,0,10,"commuting","10km = cycling",5
"2","40-64","male","commuting_0_2","54.47%",0.0171,"54.95%",0.017,0,2,"commuting","2km = cycling",3
"3","40-64","male","commuting_0_5","54.47%",0.0171,"56.81%",0.017,0,5,"commuting","5km = cycling",4
"4","40-64","male","commuting_1_0","54.47%",0.0171,"54.56%",0.0171,1,0,"commuting","1km = walking",1
"5","40-64","male","commuting_1_10","54.47%",0.0171,"59.39%",0.0169,1,10,"commuting","1km = walking ; 1 km < cycling = 10 km",8
"6","40-64","male","commuting_1_2","54.47%",0.0171,"54.97%",0.017,1,2,"commuting","1km = walking ; 1 km < cycling = 2 km",6
"7","40-64","male","commuting_1_5","54.47%",0.0171,"56.81%",0.017,1,5,"commuting","1km = walking ; 1 km < cycling = 5 km",7
"8","40-64","male","commuting_2_0","54.47%",0.0171,"55.16%",0.017,2,0,"commuting","2km = walking",2
"9","40-64","male","commuting_2_10","54.47%",0.0171,"59.41%",0.0169,2,10,"commuting","2km = walking ; 2 km < cycling = 10 km",10
"10","40-64","male","commuting_2_5","54.47%",0.0171,"56.94%",0.017,2,5,"commuting","2km = walking ; 2 km < cycling = 5 km",9
