"","age","sex","walk_base","walk_scen","cycle_base","cycle_scen","scen","purpose"
"1","65plus","female",67.6731153544385,67.6731153544385,3.58609814195935,155.771249950065,"all_0_10","all"
"2","65plus","female",67.6731153539908,67.6731153539908,3.58609814152775,25.2595677987657,"all_0_2","all"
"3","65plus","female",67.6731153544385,67.6731153544385,3.58609814195935,80.8570274123226,"all_0_5","all"
"4","65plus","female",67.6731153544385,76.6654739180783,3.58609814195935,3.68029114449165,"all_1_0","all"
"5","65plus","female",67.6731153544385,76.6654739180783,3.58609814195935,152.501301381468,"all_1_10","all"
"6","65plus","female",67.6731153544385,76.6654739180783,3.58609814195935,21.9896192310952,"all_1_2","all"
"7","65plus","female",67.6731153544385,76.6654739180783,3.58609814195935,77.5870788437263,"all_1_5","all"
"8","65plus","female",67.6731153544385,127.016126156238,3.58609814195935,3.68029114449165,"all_2_0","all"
"9","65plus","female",67.6731153544385,127.016126156238,3.58609814195935,134.191973294865,"all_2_10","all"
"10","65plus","female",67.6731153544385,127.016126156238,3.58609814195935,59.2777507571228,"all_2_5","all"
