"","age","sex","walk_base","walk_scen","cycle_base","cycle_scen","scen","purpose"
"1","65plus","all",71.835737208309,72.4289338981555,5.99609915758235,14.3695671268551,"commuting_0_10","commuting"
"2","65plus","all",71.835737208309,72.4289338981555,5.99609915758235,7.07158299929155,"commuting_0_2","commuting"
"3","65plus","all",71.835737208309,72.4289338981555,5.99609915758235,10.1005747205305,"commuting_0_5","commuting"
"4","65plus","all",71.835737208309,72.9168120293599,5.99609915758235,6.09940140957881,"commuting_1_0","commuting"
"5","65plus","all",71.835737208309,72.9168120293599,5.99609915758235,14.1921568973263,"commuting_1_10","commuting"
"6","65plus","all",71.835737208309,72.9168120293599,5.99609915758235,6.89417276976268,"commuting_1_2","commuting"
"7","65plus","all",71.835737208309,72.9168120293599,5.99609915758235,9.92316449100167,"commuting_1_5","commuting"
"8","65plus","all",71.835737208309,75.1024332698655,5.99609915758235,6.09940140957881,"commuting_2_0","commuting"
"9","65plus","all",71.835737208309,75.1024332698655,5.99609915758235,13.3973855371424,"commuting_2_10","commuting"
"10","65plus","all",71.835737208309,75.1024332698655,5.99609915758235,9.1283931308178,"commuting_2_5","commuting"
