"","age","sex","walk_base","walk_scen","cycle_base","cycle_scen","scen","purpose"
"1","20-39","all",66.3343885660508,66.3343885660508,7.59585776436649,51.4979233530245,"commuting_0_10","commuting"
"2","20-39","all",66.3343885660508,66.3343885660508,7.59585776436649,9.39066574682573,"commuting_0_2","commuting"
"3","20-39","all",66.3343885660508,66.3343885660508,7.59585776436649,21.0797774861155,"commuting_0_5","commuting"
"4","20-39","all",66.3343885660508,66.9808292007091,7.59585776436649,7.59585776436649,"commuting_1_0","commuting"
"5","20-39","all",66.3343885660508,66.9808292007091,7.59585776436649,51.2628540313306,"commuting_1_10","commuting"
"6","20-39","all",66.3343885660508,66.9808292007091,7.59585776436649,9.15559642513179,"commuting_1_2","commuting"
"7","20-39","all",66.3343885660508,66.9808292007091,7.59585776436649,20.8447081644215,"commuting_1_5","commuting"
"8","20-39","all",66.3343885660508,71.2701105178137,7.59585776436649,7.59585776436649,"commuting_2_0","commuting"
"9","20-39","all",66.3343885660508,71.2701105178137,7.59585776436649,49.7031153705653,"commuting_2_10","commuting"
"10","20-39","all",66.3343885660508,71.2701105178137,7.59585776436649,19.2849695036562,"commuting_2_5","commuting"
