"","age","sex","walk_base","walk_scen","cycle_base","cycle_scen","scen","purpose"
"1","all","female",72.8456029117343,73.254403965136,4.70215189751071,37.6461136995481,"commuting_0_10","commuting"
"2","all","female",72.8456029117343,73.254403965136,4.70215189751071,6.46086229873375,"commuting_0_2","commuting"
"3","all","female",72.8456029117343,73.254403965136,4.70215189751071,16.2283205196427,"commuting_0_5","commuting"
"4","all","female",72.8456029117343,73.8209560817956,4.70215189751071,4.72130214816467,"commuting_1_0","commuting"
"5","all","female",72.8456029117343,73.8209560817956,4.70215189751071,37.4400947480355,"commuting_1_10","commuting"
"6","all","female",72.8456029117343,73.8209560817956,4.70215189751071,6.25484334722118,"commuting_1_2","commuting"
"7","all","female",72.8456029117343,73.8209560817956,4.70215189751071,16.0223015681301,"commuting_1_5","commuting"
"8","all","female",72.8456029117343,78.038194379201,4.70215189751071,4.72130214816467,"commuting_2_0","commuting"
"9","all","female",72.8456029117343,78.038194379201,4.70215189751071,35.906553548979,"commuting_2_10","commuting"
"10","all","female",72.8456029117343,78.038194379201,4.70215189751071,14.4887603690736,"commuting_2_5","commuting"
