"","age","sex","walk_base","walk_scen","cycle_base","cycle_scen","scen","purpose"
"1","65plus","female",67.6731153544385,67.6731153544385,3.58609814195935,11.3479892415434,"commuting_0_10","commuting"
"2","65plus","female",67.6731153544385,67.6731153544385,3.58609814195935,5.23193662195871,"commuting_0_2","commuting"
"3","65plus","female",67.6731153544385,67.6731153544385,3.58609814195935,8.29769322584922,"commuting_0_5","commuting"
"4","65plus","female",67.6731153544385,68.2913177047781,3.58609814195935,3.68029114449165,"commuting_1_0","commuting"
"5","65plus","female",67.6731153544385,68.2913177047781,3.58609814195935,11.1231883868744,"commuting_1_10","commuting"
"6","65plus","female",67.6731153544385,68.2913177047781,3.58609814195935,5.00713576728973,"commuting_1_2","commuting"
"7","65plus","female",67.6731153544385,68.2913177047781,3.58609814195935,8.07289237118025,"commuting_1_5","commuting"
"8","65plus","female",67.6731153544385,71.9401404174729,3.58609814195935,3.68029114449165,"commuting_2_0","commuting"
"9","65plus","female",67.6731153544385,71.9401404174729,3.58609814195935,9.79634376407632,"commuting_2_10","commuting"
"10","65plus","female",67.6731153544385,71.9401404174729,3.58609814195935,6.74604774838216,"commuting_2_5","commuting"
