"","age","sex","walk_base","walk_scen","cycle_base","cycle_scen","scen","purpose"
"1","all","male",64.6693287105685,64.9117943912736,12.00453094853,51.8671305908714,"commuting_0_10","commuting"
"2","all","male",64.6693287105685,64.9117943912736,12.00453094853,13.9900943589698,"commuting_0_2","commuting"
"3","all","male",64.6693287105685,64.9117943912736,12.00453094853,23.460957160307,"commuting_0_5","commuting"
"4","all","male",64.6693287105685,65.6917357299254,12.00453094853,12.2224397141075,"commuting_1_0","commuting"
"5","all","male",64.6693287105685,65.6917357299254,12.00453094853,51.5835155586344,"commuting_1_10","commuting"
"6","all","male",64.6693287105685,65.6917357299254,12.00453094853,13.7064793267327,"commuting_1_2","commuting"
"7","all","male",64.6693287105685,65.6917357299254,12.00453094853,23.1773421280699,"commuting_1_5","commuting"
"8","all","male",64.6693287105685,69.7728446646447,12.00453094853,12.2224397141075,"commuting_2_0","commuting"
"9","all","male",64.6693287105685,69.7728446646447,12.00453094853,50.0994759460092,"commuting_2_10","commuting"
"10","all","male",64.6693287105685,69.7728446646447,12.00453094853,21.6933025154447,"commuting_2_5","commuting"
