"","age","sex","walk_base","walk_scen","cycle_base","cycle_scen","scen","purpose"
"1","65plus","all",71.835737208309,72.4289338981555,5.99609915758235,165.911860921582,"all_0_10","all"
"2","65plus","all",71.8357372083657,72.4289338982121,5.99609915691046,26.979690586944,"all_0_2","all"
"3","65plus","all",71.835737208309,72.4289338981555,5.99609915758235,90.0011371795654,"all_0_5","all"
"4","65plus","all",71.835737208309,81.2461526035067,5.99609915758235,6.09940140957881,"all_1_0","all"
"5","65plus","all",71.835737208309,81.2461526035067,5.99609915758235,162.705599574182,"all_1_10","all"
"6","65plus","all",71.835737208309,81.2461526035067,5.99609915758235,23.7734292406723,"all_1_2","all"
"7","65plus","all",71.835737208309,81.2461526035067,5.99609915758235,86.794875832165,"all_1_5","all"
"8","65plus","all",71.835737208309,129.849729139014,5.99609915758235,6.09940140957881,"all_2_0","all"
"9","65plus","all",71.835737208309,129.849729139014,5.99609915758235,145.031571743088,"all_2_10","all"
"10","65plus","all",71.835737208309,129.849729139014,5.99609915758235,69.1208480010715,"all_2_5","all"
