"","age","sex","walk_base","walk_scen","cycle_base","cycle_scen","scen","purpose"
"1","20-39","female",76.1800401268887,76.1800401268887,6.36016046336744,46.3653762340853,"commuting_0_10","commuting"
"2","20-39","female",76.1800401268887,76.1800401268887,6.36016046336744,7.99286411910791,"commuting_0_2","commuting"
"3","20-39","female",76.1800401268887,76.1800401268887,6.36016046336744,20.2085288162646,"commuting_0_5","commuting"
"4","20-39","female",76.1800401268887,76.6050691140101,6.36016046336744,6.36016046336744,"commuting_1_0","commuting"
"5","20-39","female",76.1800401268887,76.6050691140101,6.36016046336744,46.2108202387684,"commuting_1_10","commuting"
"6","20-39","female",76.1800401268887,76.6050691140101,6.36016046336744,7.83830812379102,"commuting_1_2","commuting"
"7","20-39","female",76.1800401268887,76.6050691140101,6.36016046336744,20.0539728209477,"commuting_1_5","commuting"
"8","20-39","female",76.1800401268887,80.669975180175,6.36016046336744,6.36016046336744,"commuting_2_0","commuting"
"9","20-39","female",76.1800401268887,80.669975180175,6.36016046336744,44.7326725783449,"commuting_2_10","commuting"
"10","20-39","female",76.1800401268887,80.669975180175,6.36016046336744,18.5758251605241,"commuting_2_5","commuting"
