"","age","sex","walk_base","walk_scen","cycle_base","cycle_scen","scen","purpose"
"1","all","female",72.8456029117343,73.254403965136,4.70215189751071,209.640480255749,"all_0_10","all"
"2","all","female",72.8456029121869,73.2544039655886,4.70215189734225,22.361212763393,"all_0_2","all"
"3","all","female",72.8456029117343,73.254403965136,4.70215189751071,91.7105154877659,"all_0_5","all"
"4","all","female",72.8456029117343,80.0914043287547,4.70215189751071,4.72130214816467,"all_1_0","all"
"5","all","female",72.8456029117343,80.0914043287547,4.70215189751071,207.154298305342,"all_1_10","all"
"6","all","female",72.8456029117343,80.0914043287547,4.70215189751071,19.8750308131897,"all_1_2","all"
"7","all","female",72.8456029117343,80.0914043287547,4.70215189751071,89.2243335373592,"all_1_5","all"
"8","all","female",72.8456029117343,121.764158157574,4.70215189751071,4.72130214816467,"all_2_0","all"
"9","all","female",72.8456029117343,121.764158157574,4.70215189751071,192.000569640317,"all_2_10","all"
"10","all","female",72.8456029117343,121.764158157574,4.70215189751071,74.0706048723341,"all_2_5","all"
