"","age","sex","walk_base","walk_scen","cycle_base","cycle_scen","scen","purpose"
"1","65plus","male",76.7134646146504,78.0017644997882,8.82011931023788,17.9102282243497,"commuting_0_10","commuting"
"2","65plus","male",76.7134646146504,78.0017644997882,8.82011931023788,9.22726609223195,"commuting_0_2","commuting"
"3","65plus","male",76.7134646146504,78.0017644997882,8.82011931023788,12.2131770143987,"commuting_0_5","commuting"
"4","65plus","male",76.7134646146504,78.3369297404871,8.82011931023788,8.93409570879925,"commuting_1_0","commuting"
"5","65plus","male",76.7134646146504,78.3369297404871,8.82011931023788,17.7883499550046,"commuting_1_10","commuting"
"6","65plus","male",76.7134646146504,78.3369297404871,8.82011931023788,9.10538782288691,"commuting_1_2","commuting"
"7","65plus","male",76.7134646146504,78.3369297404871,8.82011931023788,12.0912987450537,"commuting_1_5","commuting"
"8","65plus","male",76.7134646146504,78.8079830542281,8.82011931023788,8.93409570879925,"commuting_2_0","commuting"
"9","65plus","male",76.7134646146504,78.8079830542281,8.82011931023788,17.617057840917,"commuting_2_10","commuting"
"10","65plus","male",76.7134646146504,78.8079830542281,8.82011931023788,11.920006630966,"commuting_2_5","commuting"
